author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/298659533/,Москва,sale,flat,9,9,3,53.2,-1,0,18900000,Даниловский,Дербеневская набережная,13/17К1,Крестьянская застава,
Самолет плюс Троицк,real_estate_agent,https://www.cian.ru/sale/flat/299416507/,Москва,sale,flat,6,9,3,65.3,-1,0,18900000,Марьина роща, Сущевский Вал,13/1,Савёловская,
ID 62773952,homeowner,https://www.cian.ru/sale/flat/301617923/,Москва,sale,flat,13,19,3,53.8,-1,0,19000000,Фили-Давыдково,Славянский бульвар,3,Славянский бульвар,
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/301108564/,Москва,sale,flat,2,22,3,103.0,-1,0,19250000,Бирюлево Восточное,6-я Радиальная ,7/1к2,Царицыно,Царицыно-2
ID 53517724,unknown,https://www.cian.ru/sale/flat/300720239/,Москва,sale,flat,3,19,3,76.1,-1,0,19200000,Солнцево, Авиаторов,5к6,Солнцево,В Солнцево
ID 70988745,realtor,https://www.cian.ru/sale/flat/292790094/,Москва,sale,flat,15,16,3,73.8,-1,0,19250000,Южное Медведково,проезд Дежнева,38,,
Ностальгия,real_estate_agent,https://www.cian.ru/sale/flat/300829985/,Москва,sale,flat,1,17,3,73.8,-1,0,19500000,Братеево, Борисовские Пруды,14К4,Борисово,
Алла Шмелева,realtor,https://www.cian.ru/sale/flat/292920490/,Москва,sale,flat,2,16,3,65.2,-1,0,19500000,Коптево, Космонавта Волкова,31К1,Красный Балтиец,
ID 182291,real_estate_agent,https://www.cian.ru/sale/flat/291480133/,Москва,sale,flat,15,17,3,75.0,-1,0,19500000,Южное Бутово,Веневская ,7,Бульвар Адмирала Ушакова,
Владимир Зильбер,realtor,https://www.cian.ru/sale/flat/299599530/,Москва,sale,flat,8,12,3,62.1,-1,0,19400000,Гольяново,Уральская ,23К1,Щёлковская,
ID 13477438,unknown,https://www.cian.ru/sale/flat/296469874/,Москва,sale,flat,7,12,3,58.5,-1,0,19500000,Алексеевский,Новоалексеевская ,18К1,Алексеевская,
Городской центр,real_estate_agent,https://www.cian.ru/sale/flat/301210782/,Москва,sale,flat,2,17,3,72.4,-1,0,19600000,Крылатское,Рублевское шоссе,30К2,Крылатское,
ID 57727629,realtor,https://www.cian.ru/sale/flat/300620025/,Москва,sale,flat,12,12,3,65.5,-1,0,19700000,Бескудниковский,Бескудниковский бульвар,55К2,Селигерская,
Юрий Луизо,realtor,https://www.cian.ru/sale/flat/298507690/,Москва,sale,flat,2,12,3,79.6,-1,0,19990000,Строгино,Таллинская ,6,Строгино,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300909271/,Москва,sale,flat,4,12,3,74.2,-1,0,20000000,, Липовый Парк,11,Коммунарка,Москва А101
СОЗВЕЗДИЕ Бюро Недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/298909591/,Москва,sale,flat,7,9,3,58.2,-1,0,20000000,Преображенское,Большая Черкизовская ,5К1,Преображенская площадь,
