author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 50403,homeowner,https://www.cian.ru/sale/flat/297794269/,Москва,sale,flat,12,14,2,50.0,-1,0,11100000,,шоссе Остафьевское,12к1,Щербинка,Остафьево
ID 46344,realtor,https://www.cian.ru/sale/flat/299048958/,Москва,sale,flat,7,12,2,46.4,-1,0,11200000,Перово,Перовская ,10К1,Перово,
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/298965902/,Москва,sale,flat,9,17,2,50.8,-1,0,11200000,Южное Бутово,Варшавское шоссе,282к2,Щербинка,Никольские луга
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300986446/,Москва,sale,flat,10,12,2,52.0,-1,0,11200000,Бирюлево Восточное,Липецкая ,34/25,Царицыно,
Наталья Сказка,realtor,https://www.cian.ru/sale/flat/300116941/,Москва,sale,flat,3,12,2,47.0,-1,0,11250000,Бирюлево Западное,Харьковская ,1К3,Пражская,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/295895327/,Москва,sale,flat,1,12,2,46.1,-1,0,11400000,Лосиноостровский,1-я Напрудная ,9,Медведково,
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/300737758/,Москва,sale,flat,2,9,2,43.8,-1,0,11400000,Чертаново Центральное,Чертановская ,39К2,Пражская,
ID 114614322,homeowner,https://www.cian.ru/sale/flat/299985707/,Москва,sale,flat,8,9,2,37.1,-1,0,11300000,Северное Медведково, Тихомирова,11К2,Медведково,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299560653/,Москва,sale,flat,8,9,2,37.7,-1,0,11500000,Бескудниковский,Бескудниковский бульвар,20К3,Селигерская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/293078878/,Москва,sale,flat,3,16,2,52.2,-1,0,11500000,Дмитровский,Коровинское шоссе,34,Грачёвская,
Елена Корнийчук,realtor,https://www.cian.ru/sale/flat/286347341/,Москва,sale,flat,2,13,2,52.7,-1,0,11500000,,,к4С,Прокшино,Рашен Дизайн Дистрикт ЖК
CENTURY 21 Перспектива,real_estate_agent,https://www.cian.ru/sale/flat/301554271/,Москва,sale,flat,1,12,2,50.0,-1,0,11500000,Выхино-Жулебино,Рязанский проспект,68К1,Выхино,
Дмитрий Ломовцев,realtor,https://www.cian.ru/sale/flat/301153929/,Москва,sale,flat,2,9,2,44.4,-1,0,11500000,Можайский,Гвардейская ,14,Рабочий посёлок,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/300053925/,Москва,sale,flat,3,12,2,38.0,-1,0,11500000,Перово,Перовская ,4К2,Шоссе Энтузиастов,
CENTURY 21 Перспектива,real_estate_agent,https://www.cian.ru/sale/flat/299468868/,Москва,sale,flat,2,9,2,43.0,-1,0,11500000,Люблино,Краснодонская ,27,Люблино,
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/301109994/,Москва,sale,flat,4,9,2,44.4,-1,0,11500000,Чертаново Южное,Чертановская ,64К2,Улица Академика Янгеля,
